Contributor Provided ID,Wire Number,Class Number,Customer Number,Customer Name,Firm Number,UUID,User Name,Business eMail,Customer Country,Customer State,Customer City,Transaction Id,Primary Supplied Ticker(s),Author(s),Title,Post Date,Transaction Date
649d5dfd24e00000649d5dfd24e00001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,d66bf8e95cd45dd9,,Team Coverage,Undisclosed Report Title,2023/06/29 10:33,2024/03/18 0:50
65d5e0033714000065d5e00337140001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,b75d06e87002c5c5,,Team Coverage,Undisclosed Report Title,2024/02/21 11:35,2024/03/17 16:01
65d5e0033714000065d5e00337140001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,b8e9272879f48cd9,,Team Coverage,Undisclosed Report Title,2024/02/21 11:35,2024/03/16 16:07
65ef012d24e0000065ef012d24e00001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,67325dfd46904bda,,Team Coverage,Undisclosed Report Title,2024/03/11 13:03,2024/03/15 13:02
65e83c3b3ba4000065e83c3b3ba40001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,810838b8d8b2f1b3,,Team Coverage,Undisclosed Report Title,2024/03/06 9:49,2024/03/13 5:53
65f04ffa3ba4000065f04ffa3ba40001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,d7226445ef4313cd,,Team Coverage,Undisclosed Report Title,2024/03/12 12:52,2024/03/12 22:45
65f050573b58000065f050573b580001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,aaec2654bb9bb316,,Team Coverage,Undisclosed Report Title,2024/03/12 12:53,2024/03/12 18:47
65f050573b58000065f050573b580001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,99fd00e63f90835a,,Team Coverage,Undisclosed Report Title,2024/03/12 12:53,2024/03/12 15:03
65f04ffa3ba4000065f04ffa3ba40001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,aac06e2e3cc2d126,,Team Coverage,Undisclosed Report Title,2024/03/12 12:52,2024/03/12 15:03
65f050573b58000065f050573b580001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,279ef962c77043dc,,Team Coverage,Undisclosed Report Title,2024/03/12 12:53,2024/03/12 13:18
65ef012d24e0000065ef012d24e00001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,3f2bc48c6e59671e,,Team Coverage,Undisclosed Report Title,2024/03/11 13:03,2024/03/12 5:34
65ef012d24e0000065ef012d24e00001,3755,2,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,e585ab412ab5f89e,,Team Coverage,Undisclosed Report Title,2024/03/11 13:03,2024/03/12 5:33
65ef01d53714000065ef01d537140001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,cb79f065655db00c,,Team Coverage,Undisclosed Report Title,2024/03/11 13:06,2024/03/11 18:27
65ef01d53714000065ef01d537140001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,540b11a13d46334d,,Team Coverage,Undisclosed Report Title,2024/03/11 13:06,2024/03/11 15:07
64dc95d23ba4000064dc95d23ba40001,3755,1,Embargoed,Undisclosed Customer Name,Undisclosed Firm Number,N/A - Free Content,N/A - Free Content,N/A - Free Content,Embargoed,Embargoed,Embargoed,964fd51cd6d54d28,,Team Coverage,Undisclosed Report Title,2023/08/16 9:24,2024/03/11 14:56
